Question,A,B,C,D
Suppose Charlotte decides to go on the roller coaster. Which result would be a cost?,Charlotte will save some ride tickets. She needs fewer tickets to go on the roller coaster than on the flying bobsled.,Charlotte will give up the chance to go on the flying bobsled. She would have had more fun on that ride.,,
"What is the source of the allusion in the sentence below?
Vince's remark about your new car is clearly a case of sour grapes.",a fable,Greek mythology,,
"Which figure of speech is used in this text?
I must have eaten too much of Antonio's homemade chili, because now I'm so full I could explode!",paradox,hyperbole,,
"Which tense does the sentence use?
Ian will pitch the ball quickly.",future tense,present tense,past tense,
"What does the idiom in this text suggest?
Mr. and Mrs. Erickson usually see eye to eye, but not when it comes to the controversial mayoral race.",Mr. and Mrs. Erickson usually agree.,Mr. and Mrs. Erickson are not politically active.,,
"Which figure of speech is used in this text?
The metal platter landed with a great clang, spraying bits of food across the kitchen floor and cabinets.",onomatopoeia,verbal irony,,
"Which type of sentence is this?
As Matt sat down on the rickety old chair, it abruptly collapsed beneath him.",compound-complex,simple,complex,compound
"Read the following excerpt from a student essay. How can the writer best improve his or her academic voice?
Many people don't recycle because throwing things away is easier, even though doing so can be damaging to the environment. People are lazy and selfish, always wanting what is good for themselves, not necessarily what is good for society. As a result, many people do not take the steps that are required to recycle different materials. For example, some towns require residents to sort items before leaving them at the curbside; this causes some to skip recycling altogether, even though doing so is unethical.",by avoiding first-person pronouns,by including technical terms,by maintaining an objective tone,
"Read the following excerpt from a student essay. How can the writer best improve his or her ideas and development?
Wearing a bicycle helmet is the best way to protect yourself against fatal head injuries. Several studies have shown that riders who wore helmets had a reduction in their risk of head and brain injuries. More and better bike lanes in our cities would help protect cyclists from danger. Children especially benefit from wearing helmets, since they experience the majority of bicycling accidents that cause serious head injuries.",by including more evidence to support the claim,by removing a second main idea,by clearly stating the main idea,
"Which logical fallacy is used in the text?
Mr. Leonard can quit smoking because he's capable of stopping.",circular reasoning: an argument that supports a claim with the claim itself,hasty generalization: a broad claim based on too few observations,"ad hominem: an attack against the person making the argument, rather than the argument itself",
"Which logical fallacy is used in the text?
I ate kielbasa right before my favorite football team won the championship back in 2006. Now, I always eat kielbasa before their games to carry them to victory.",circular reasoning: an argument that supports a claim with the claim itself,"false causation: the assumption that because two things happened together, one caused the other",,
"What is the source of the allusion in the sentence below?
When I learned the details of Kiera's Faustian bargain, I was in disbelief.",Roman mythology,literature,,
"Is this a run-on sentence?
Mexico is the world's largest avocado producer, one variety is so profitable that Mexican farmers refer to the fruit as oro verde, or green gold.",yes,no,,
"Which figure of speech is used in this text?
Juan's room is as tidy as an overgrown garden.",onomatopoeia,verbal irony,,
"Which tense does the sentence use?
Circus clowns amuse the young children.",future tense,present tense,past tense,
"What is the source of the allusion in the sentence below?
Sidney told her friends that Desmond was a typical Peter Pan type.",literature,a song,,
"What is the source of the allusion in the sentence below?
Looking at his life, we couldn't help but see Pablo as a Job-like figure.",the Bible,Greek mythology,,
"What kind of sentence is this?
Lucia considers Paris the most romantic city in the world.",interrogative,exclamatory,declarative,
"Would you find the word mint on a dictionary page with the following guide words?
marriage - modest",no,yes,,
"What is the source of the allusion in the sentence below?
Looking at his life, we couldn't help but see Mitch as a Job-like figure.",the Bible,Greek mythology,,
"What is the source of the allusion in the sentence below?
Justin picked up his pace on the trail as his spidey sense began to tingle.",a comic book,a song,,
Is a globe a good or a service?,a good,a service,,
"Would you find the word roam on a dictionary page with the following guide words?
reality - rudder",yes,no,,
"What kind of sentence is this?
How well does Jaylen play the guitar?",interrogative,imperative,,
