Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Is wind power renewable or non renewable?,depends,neither,non renewable,renewable,D,Environmental Science,Environmental Science,D,D,1,1
What type of scientists study the effects people have on their environment?,environmental scientists,biological scientists,ecological scientists,integrated scientists,A,Environmental Science,Environmental Science,A,A,1,1
What are drilled to monitor groundwater pollution?,aquifers,sewers,draining wells,test wells,D,Environmental Science,Environmental Science,D,D,1,1
Fossil fuels are made out of what two objects?,gases and animals,plants and water,soil and animals,plants and animals,D,Environmental Science,Environmental Science,D,D,1,1
Fossil fuels and nuclear power are what type of resource?,nonrenewable,renewable,recurring,reusable,A,Environmental Science,Environmental Science,A,A,1,1
"Metals, fossil fuels, and water are all examples of what type of resource?",ores,recyclables,natural resources,renewable resources,C,Environmental Science,Environmental Science,C,C,1,1
What natural resource can be damaged by the accumulation of too much salt?,forests,sediment,soil,mineral,C,Environmental Science,Environmental Science,C,C,1,1
What has increased the greenhouse effect?,human actions,temperature changes,ozone depletion,climate change,A,Environmental Science,Environmental Science,A,A,1,1
What are non-renewable sources of energy that produce environmental damage?,sunlight,crop fuels,wind,fossil fuels,D,Environmental Science,Environmental Science,D,D,1,1
What gets released into the atmosphere when fossil fuels are burned?,carbon dioxide,oxygen,hydrogen,chemical dioxide,A,Environmental Science,Environmental Science,A,A,1,1
"Hazardous waste is material that is toxic, chemically active, corrosive, or what?",decomposed,flammable,inactive,organic,B,Environmental Science,Environmental Science,B,B,1,1
"Molds, pollen, and pet dander are examples of air pollution with what type of source?",physical,ecological,chemical,biological,D,Environmental Science,Environmental Science,D,D,1,1
What element is released into the atmosphere by the burning of fossil fuels?,sulfur,carbon,helium,oxygen,A,Environmental Science,Environmental Science,B,B,0,0
"Biomass, solar, wind, water, and geothermal power are examples of what kinds of energy resources?",electrical,renewable,mechanical,fossil fuel,B,Environmental Science,Environmental Science,B,B,1,1
What is the most widely used form of renewable energy in the world?,hydropower,fossil fuel,wind,solar,A,Environmental Science,Environmental Science,A,A,1,1
What has the average global temperature done since the 1900s?,changed randomly,risen,stayed constant,decreased,B,Environmental Science,Environmental Science,B,B,1,1
"Burning forests, growing rice and raising livestock all cause a release of what into the atmosphere?",oxide gases,carbonate gases,greenhouse gases,glucose gases,C,Environmental Science,Environmental Science,C,C,1,1
What is our largest source of energy?,wind,methane,iron,coal,D,Environmental Science,Environmental Science,D,A,1,0
"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",dead zones,hostile zones,inhabitable zones,fresh zones,A,Environmental Science,Environmental Science,A,A,1,1
Why have rivers in arid regions been reduced to trickles?,diversion of water,global warming,rainforest destruction,emigration,A,Environmental Science,Environmental Science,A,A,1,1
The major cause of outdoor air pollution is the burning of?,trees,fossil fuels,trash,charcoal briquettes,B,Environmental Science,Environmental Science,B,B,1,1
A natural resource that is consumed or used up faster than it can be made by nature is termed what?,non-renewable,renewable,energy-inefficient,fossil fuel,A,Environmental Science,Environmental Science,A,A,1,1
What is the most commonly used source of energy in the world?,wind,oil,electricity,water,B,Environmental Science,Environmental Science,B,B,1,1
"A minority of people on earth use up most of the planet's what, including energy?",air,sand,water,resources,D,Environmental Science,Environmental Science,D,D,1,1
What is the most common fossil fuel?,coal,uranium,diesel oil,methane,A,Environmental Science,Environmental Science,A,A,1,1
"Human population is growing exponentially and humans have increased what normally limiting factor through technology, urbanization, and harnessing the energy of fossil fuels?",zero population growth,mass extinction,carrying capacity,habitat loss,C,Environmental Science,Environmental Science,C,C,1,1
A catalytic converter filters pollutants in exhaust created by burning what before releasing it into the air?,fossil fuels,noble gas,carbon dioxide,fossil compounds,A,Environmental Science,Environmental Science,A,A,1,1
Fossil fuel consumption is a major contributor to global emissions of what gas?,carbon dioxide,oxygen,carbon monoxide,methane,A,Environmental Science,Environmental Science,A,A,1,1
What type of energy is clean and does not release greenhouse gases?,coal,natural gas,lithosphere energy,geothermal energy,D,Environmental Science,Environmental Science,D,D,1,1
"The result of what, in places like the amazon rainforest, is that food will be harder to produce, clean water will be harder to find, and development of new medicines will become slower?",biodiversity loss,pollution loss,environmnental loss,biological loss,A,Environmental Science,Environmental Science,A,A,1,1
What fuels provide most of the energy used worldwide?,hydroelectric,solar,fossil,renewable,C,Environmental Science,Environmental Science,C,C,1,1
What is pollution that enters water at just one point called?,point source pollution,entry point pollution,point supply pollution,point supply pollution,A,Environmental Science,Environmental Science,A,A,1,1
What type of pollution results from the contaminants that enter a waterway or water body through a single site?,point source pollution,liquid source pollution,simple source pollution,targeted source pollution,A,Environmental Science,Environmental Science,A,A,1,1
At least 20 percent of the world’s people do not have a ready supply of what?,clothing,food,clean drinking water,oil,C,Environmental Science,Environmental Science,C,C,1,1
A low level of radiation occurs naturally in the environment and is called what?,Gamma radiation,background radiation,Beta radiation,Alpha radiation,B,Environmental Science,Environmental Science,B,B,1,1
What are the two main types of air pollutants?,primary and secondary,new and old,a and b,good and bad,A,Environmental Science,Environmental Science,A,A,1,1
What is the main cause of outdoor air pollution?,burning of fossil fuels,methane from livestock,aerosol spray,chimneys,A,Environmental Science,Environmental Science,A,A,1,1
What type of resource is water power?,nonrenewable,biological,renewable,geothermal,C,Environmental Science,Environmental Science,C,C,1,1
"What kind of fuels include coal, oil, and natural gas?",ancient,sediment,storage,fossil,D,Environmental Science,Environmental Science,D,D,1,1
What branch of science deals with the effects people have on the environment?,environmental science,cultural science,physical science,ecological science,A,Environmental Science,Environmental Science,A,A,1,1
"What are resources that can not be remade, or would take too long to remake to keep up wiht human use called?",renewable resources,green resources,nonrewable resources,photoreactive resources,C,Environmental Science,Environmental Science,C,C,1,1
Why are living things considered to be renewable?,they inherit traits,they evolve,they reproduce,they decompose,C,Environmental Science,Environmental Science,C,C,1,1
"The three greatest proximate threats to biodiversity are habitat loss, overharvesting, and introduction of what?",solar radiation,carbon dioxide,carbon monoxide,exotic species,D,Environmental Science,Environmental Science,D,D,1,1
"Another major cause of extinction is global warming , which is also known as?",global climate change,sudden climate change,rapid climate change,regional climate change,A,Environmental Science,Environmental Science,A,A,1,1
What is greatest source of hazardous waste?,water,study,heat,industry,D,Environmental Science,Environmental Science,D,D,1,1
What kind of material that might otherwise go to a landfill can serve as the source of biomass power?,microscopic waste,mechanical waste,organic waste,reactive waste,C,Environmental Science,Environmental Science,C,C,1,1
"In some parts of the world, too much of the sun's harmful uv radiation gets through because of a hole in what layer?",mesosphere,troposphere,thermosphere,ozone,D,Environmental Science,Environmental Science,D,D,1,1
A recent deadly explosion in the gulf of mexico exemplified what source of ocean pollution?,oil spill,fracking disaster,greenhouse gases,algal bloom,A,Environmental Science,Environmental Science,A,A,1,1
What is destroying the layer of good ozone?,air pollution,water pollution,greenhouse gas,climate change,A,Environmental Science,Environmental Science,A,A,1,1
Burning fossil fuels produces air pollution and what?,oxygen,liquid dioxide,acid rain,carbon dioxide,D,Environmental Science,Environmental Science,D,D,1,1
What is another environmental benefit of conserving resources?,warmer temperatures,more jobs,lower prices,less trash,D,Environmental Science,Environmental Science,D,D,1,1
Which fuels provide most of the world’s energy?,pattern fuels,fossil fuels,coal fuels,artificial fuels,B,Environmental Science,Environmental Science,B,B,1,1
What is a waste product from fossil fuel burning?,oxidation,smog,co2 emissions,hydrogen gas,C,Environmental Science,Environmental Science,C,C,1,1
What will happen to sea levels due to increased global temperatures?,reverse,rise,Drop,surge,B,Environmental Science,Environmental Science,B,B,1,1
Fossil fuels and coal are examples of what kind of resources?,nonrenewable,reusable,valuable,renewable,A,Environmental Science,Environmental Science,A,A,1,1
"Timber, obtained from trees that can be replanted to replace those that are cut down, is an example of what type of resource?",nonrenewable,fossil fuel,mineral,renewable,D,Environmental Science,Environmental Science,D,D,1,1
What is biomass made into fuel called?,bio fuel,toxic fuel,benign fuel,renewable fuel,A,Environmental Science,Environmental Science,A,A,1,1
