Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
A solute generally does what to the freezing point of a solvent?,lowers it,raises it,regulates it,increases it,A,Chemistry,Inorganic Chemistry
"The quarks in a particle are confined, meaning individual quarks cannot be what?",changed,separated,hypothesized,directly observed,D,Physics,Nuclear and Particle Physics
The monosaccharide glucose is broken down through a series of enzyme-catalyzed reactions known as what?,Digestion,glycolysis,Respiration,photosynthesis,B,Biology,Biochemistry
What is the primary gas produced from burning of wood?,Hydrogen Dioxide,liquid dioxide,toxic dioxide,carbon dioxide,D,Chemistry,Organic Chemistry
What type of transport requires no energy and occurs when substances move from areas of higher to lower concentration?,immune transport,bacterial transport,active transport,passive transport,D,Biology,Cell Biology
What is the force of attraction between a positive metal ion and valence electrons?,covalent bond,liquid bond,galactic bond,metallic bond,D,Chemistry,Inorganic Chemistry
How many times does the height of the largest wave increase with each level?,100 times,10 times,20 times,5 times,B,Physics,Acoustics
What does unequal heating of the atmosphere cause?,weather,flares,water,humidity,A,Earth Sciences,Atmospheric Science
"During protein synthesis, ribosomes assemble what into proteins?",amino acids,rna acids,polymer acids,DNA Acids,A,Biology,Cell Biology
"If particles have enough kinetic energy to completely overcome the force of attraction between them, matter exists as a what?",liquid,solid,gas,vapor,C,Chemistry,Physical Chemistry
What structure of the body falls between cells and organs in complexity?,muscles,molecules,proteins,tissues,D,Biology,Anatomy/Physiology
The relationships between groups of different species makes up a ___________.,community,species,family,food chain,A,Biology,Ecology
An offspring that inherits a mutation in a gamete will have the mutation in all of its?,cells,seeds,proteins,eggs,A,Biology,Genetics
How do organisms grow and repair themselves?,mutation,cell death,symbosis,cell division,D,Biology,Cell Biology
What do halogens require electrons to achieve?,formation,octet,coupling,fusion,B,Chemistry,Inorganic Chemistry
"What is the percentage of earthquakes that take place within a plate, away from plate boundaries?",3 %,4 %,5%,6%,C,Earth Sciences,Geology
"Despite their name, what scientists study the atmosphere rather than colliding space rocks?",meteorologists,astronauts,forecasters,astronomers,A,Earth Sciences,Geography
What is an insect's hard outer exoskeleton made out of?,casein,lectin,chitin,melanin,C,Biology,Zoology
What do you call a group of organisms of the same species that live in the same area?,population,system,ecosystem,biosphere,A,Biology,Ecology
All the genes in all the members of a population make up its what?,diversity,phenotype,longevity,gene pool,D,Biology,Genetics
"Although some have suggested that the uvula is what type of organ, it actually serves an important purpose?",essential,parietal,vestigial,remnant,C,Biology,Anatomy/Physiology
The differences in the biomes is due to differences in the what factors?,temperature,biological,air quality,abiotic,D,Biology,Ecology
What is often the cause of phenotypic differences between identical twins?,genetics,natural selection,learned behavior,environment,D,Biology,Genetics
What kind of equal and opposite forces cancel one another out when they act on the same object?,exact,solid,balanced,combined,C,Physics,Mechanics
"What are two other terms for dizygotic twins, which make good study subjects because they share many environmental conditions, but only about half of their polymorphisms?",fractional,identical twins,interdependant twins,"fraternal, non-identical",D,Biology,Genetics
Many diseases arise from genetic mutations that prevent the synthesis of critical what?,acids,proteins,oils,lipids,B,Biology,Genetics
"Plants obtain their energy from the sun through photosynthesis , what do animals obtain their energy from?",proteins,tissues,organisms,ultraviolet rays,C,Biology,Ecology
What type of fibrous joint is found between most bones of the skull?,lobiture,aperture,trecature,suture,D,Biology,Anatomy/Physiology
"Innate behaviors occur in all animals. however, they are less common in species with higher levels of what?",intelligence,interdependence,hormones,nonverbal communication,A,Biology,Zoology
The periodic table is an arrangement of the elements in order of increasing what?,metallic numbers,gravity numbers,negative numbers,atomic numbers,D,Chemistry,Inorganic Chemistry
What type of ions play critical roles in light-dependent reactions?,calcium,silicon,helium,hydrogen,D,Biology,Biochemistry
What moves nitrogen back and forth between the atmosphere and organisms?,the nitrogen cycle,the Krebs cycle,the calcium cycle,the leakage cycle,A,Biology,Biochemistry
What is caused by human actions that releases chemical substances and particles into the air?,CFO pollution,Improper Emissions,heavy pollution,air pollution,D,Environmental Science,Environmental Science
"The human body has as many as two trillion lymphocytes, and lymphocytes make up about 25% of all of what?",pathogens,red blood cells,glands,leukocytes,D,Biology,Anatomy/Physiology
What chemical substances are secreted by animals that communicate by odor or taste?,alaki,pheromones,hormones,acids,B,Biology,Biochemistry
What are the three types of rocks?,"igneous, sedimentary, mixed","igneous, orbital, metamorphic","igneous, sedimentary, metamorphic","opaque , sedimentary , metamorphic",C,Earth Sciences,Geology
How do yeasts reproduce asexually?,by outcropping,by merging,by budding,by synchronizing,C,Biology,Microbiology
How many chromosomes are in each set?,21,22,13,23,D,Biology,Genetics
"Iron is oxidized to fe2+(aq) at an anodic site on the surface of the iron, which is often an impurity or this?",lattice defect,spontaneous mutation,displacement defect,ladder complex,A,Chemistry,Physical Chemistry
Each species has a characteristic number of what coiled structures made of dna and proteins?,chromosomes,genes,ribosomes,prokaryotes,A,Biology,Genetics
What is the name for tiny animals that feed on phytoplankton?,larvae,krill,jellyfish,zooplankton,D,Biology,Zoology
"What do marine autotrophs acquire in carbonic acid, its dissolved form?",silicon dioxide,carbon dioxide,chlorine dioxide,carbon monoxide,B,Biology,Biochemistry
"Asexual, sexual, budding, and parthenogenesis are all forms of what?",hibernation,reproduction,photosynthesis,absorption,B,Biology,Reproductive Biology
"For an exothermic chemical reaction, energy is given off as reactants are converted to what?",forms,exports,imports,products,D,Chemistry,Inorganic Chemistry
Which is the ultimate energy source in a bear's food chain?,plants,decomposers,heat,sun,D,Biology,Ecology
Insect's antennae are useful for sensing what?,contaminants,microorganisms,chemicals,sunlight,C,Biology,Zoology
"""endocrine"" and ""exocrine"" are two types of what?",organs,fluids,glands,cells,C,Biology,Anatomy/Physiology
What is the term for the movement of molecules from an area of high concentration to an area of low concentration?,Osmosis,diffusion,concentration,passive transport,B,Biology,Biochemistry
What factors determine the effect of a gene?,alleles,genomes,metabolites,ribosomes,A,Biology,Genetics
What type of craniates have backbones?,juveniles,invertebrates,vertebrates,larva,C,Biology,Zoology
What are the most numerous blood cells?,red blood cells,white blood cells,neutrophils,platelets,A,Biology,Cell Biology
How do autotrophs get food?,From Water,make their own,Soak up from host cell,From Plant matter,B,Biology,Ecology
What is an ionic compound that produces negative hydroxide ions when dissolved in water,acid,base,catalyst,isomer,B,Chemistry,Inorganic Chemistry
What is the name for the disease in which cells divide out of control?,diabetes,mutation,angina,cancer,D,Biology,Cell Biology
"The period immediately following the transmission of an impulse in a nerve or muscle, in which a neuron or muscle cell regains its ability to transmit another impulse, is called the ______ period.",activation,extraction,refractory,interstitial,C,Biology,Neuroscience
What kinds of neutron stars emit radiation in pulses?,red giants,pulsars,quasars,dwarf stars,B,Physics,Astronomy
Competition with what emerging animal group may have led to extinction of cynodonts about 200 million years ago?,mammals,amphibians,reptiles,insects,A,Biology,Ecology
"Within a bud, what is spaced close together because the internodes are very short?",roots,chordae,leaves,stems,C,Biology,Botany
What controls the opening to the airway and gut?,tongue,teeth,electrons,mandible,D,Biology,Anatomy/Physiology
Cells selective for different odorants are interspersed in what anatomical cavity?,abdominal,facial,mucus,nasal,D,Biology,Cell Biology
"What do you call the set of seventeen chemical elements possessing particular importance for a variety of industrial processes, used frequently in modern technology?",rare earth metals,fossil fuel,base chemicals,reactive elements,A,Chemistry,Inorganic Chemistry
"Broca’s area, responsible for the production of language or controlling movements responsible for speech, is nearly always located on what side of the brain?",left,back,half,Hand,A,Biology,Neuroscience
