Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
Which of the following is not found in nephrotic syndrome-irrelevant,LDL - Cholesterol,TG,HDL - Cholesterol,VLDL - Cholesterol,A,Medicine,A,C
Pyrazinamide acts on,Interfering folic acid biosynthesis of mycobacteria,Bacteriostatic activity on growing organisms,Tuberculous bacilli in macrophages,Tuberculous bacilli in blood stream,C,Medicine,C,C
"The ""subclan steal syndrome"" occurs due to",Occlusion /stenosis of the veebral aery,Occlusion/stenosis of the carotid aery,Occlusion of the subclan aery proximal to origin of veebral aery,Occlusion of the subclan aery distal to origin of veebral aery,C,Medicine,C,C
Increase in LDH levels is seen in?,Bulky disease,Lymphoma,Liver metastasis,Lung metastasis,A,Medicine,C,B
Hypercalcemia is diagnosed by,Ionised calcium level,Serum calcium,Serum phosphate,Urinary calcium concentration,B,Medicine,A,A
Rapid X descent is unlikely in-,Constrictive pericarditis,Cardiac tamponade,RVM,Restrictive cardiomyopathy,C,Medicine,D,B
Invariably involved site in ulcerative colitis;,Sigmoid colon,Transverse colon,Ileum,Rectum,D,Medicine,A,D
Herpes simplex virus is -,Single stranded DNA,Double stranded DNA,Single stranded RNA,Double stranded RNA,B,Microbiology,A,A
Clostridium tetani is:,Gram positive bacilli,Gram negative bacilli,Gram positive cocci,Gram negative cocci,A,Microbiology,A,A
Mode of transmission of Q-fever is:,Bite of infected louse,Bite of infected tick,Inhalation of aerosol,Bite of infected mice,C,Microbiology,C,C
"MHC I, II and III function for:","Intracellular antigen, extracellular antigens and complement","Extracellular antigens, intracellular antigens, toxins",Cytokines,Macrophages,C,Microbiology,A,A
Staphylococcal scalded skin syndrome is caused by-,Hemolysin,Coagulase,Enterotoxin,Epidermolytic toxin,D,Microbiology,D,D
Which of the following corynebacterium toxin is similar to that of diphtheria toxin,Corynebacterium auris,Corynebacterium jivelai,Corynebacterium ulcerans,Corynebacterium striatum,C,Microbiology,C,C
Most important reservoir of leptospira-,Man,Rat,Monkey,Pig,B,Microbiology,B,B
Cutaneous larvae Migrans is most frequently caused by:,Ancylostoma braziliense,Anisakiasis,Gnathostoma,Toxocara canis,A,Microbiology,A,A
A person presents with pneumonia. His sputum was sent for culture. The bacteria obtained were gram-positive cocci in pairs and alpha hemolytic colonies on sheep agar. Which of the following will help in confirming the diagnosis,Novobiocin,Optochin,Bacitracin,Oxacillin,B,Microbiology,B,B
In which parasitic infestation sputum examination is not of much value -,Trichuris trichura,Strongyloides,Ancyclostoma duodenale,Paragonimus Westermanii,A,Microbiology,B,A
Anaerobic gram-positive cocci causes,Puerperal infection,Food poisoning,Endocarditis,Septicemia,A,Microbiology,C,A
Treatment for streptococcal necrotizing fasciitis is,Surgical debridement,Penicillin,Clindamycin,Metronidazole,A,Microbiology,A,A
Which virus cannot be cultivated -,Vaccinia,Variola,Molluscum contagiosum,Cowpox,C,Microbiology,A,C
"A company executive , who travels world wide, presents with upper abdominal mass and +ve casoni's test. The organism is -",Echinococcus,Entamoeba histolytica,Hepatitis,Ascariasis,A,Microbiology,A,A
TCBS agar is for?,Leptospira,Vibrio,Legionela,Bacteroides,B,Microbiology,B,B
Weil's disease is caused by:,Leptospira,Listeria,Mycoplasma,Legionella,A,Microbiology,A,A
An adolescent male developed vomiting and diarrhea 1 hour after having food from arestaurant. The most likely pathogen is?,Clostridium perfringens,Vibrio parahaemolyticus,Staphylococcus aureus,Salmonella,C,Microbiology,A,C
Age group most prone to Rubella is?,Infants,Adolescent girls,Pregnant females,Women of child bearing age,D,Microbiology,D,A
Tinea cruris is caused by,Epidermophyton,Trichosporon,Microsporum,Candida,A,Microbiology,A,A
Which of the following cell does not have cytotoxic activity -,NK cells,Cytotoxic T-cells,Helper T-cells,Antibody dependent cells,C,Microbiology,C,C
A 15-year-old girl was admitted to the infectious disease hospital with a provisional diagnosis of rabies. The most suitable clinical sample that can confirm the antemoem diagnosis is -,Serum for anti-rabies IgG antibody,Corneal impression smear for immunofluorescence stain,CSF sample for viral culture,Giemsa stain on smear prepared from salivary secretions,B,Microbiology,B,B
Japanese B encephalitis virus is transmitted by the following vector,Culex tritaeniorhynchus,Hard tick,Culex fatigans,Soft tick,A,Microbiology,A,A
"A 40 yr. old patient is presented with tumour like lesions on arms, legs buttocks and histology showed hyaline acidophilic inclusion bodies. Diagnosis is",Cow pox,Milker's node,Orf,Molluscum contagiosum,D,Microbiology,B,D
A veterinary doctor had fever for 15 days. His blood culture in special laboratory media was positive for Gram-negative sho bacilli which were oxidase positive. Which one of the following is the likely organism grown in culture?,Pasteurella spp.,Francisella spp.,Baonella spp.,Brucella spp.,D,Microbiology,A,A
Bacteriophages are -,Bacteria that infects virus,Virus that infects bacteria,Virus that infects protozoa,Bacteria that infects protozoa,B,Microbiology,B,B
Mycobacterium tuberculosis was discoverd by -,Louispasteur,Robert koch,Lister,Jener,B,Microbiology,B,B
Coxsackie group A commonly cause -,Conjunctivitis,Aseptic meningitis,Hepatitis B,Myocarditis,B,Microbiology,A,A
The organism that most commonly causes infective endocarditis is,Streptococcus mitis,Streptococcus viridians,Staphylococcus aureus,Staphylococcus pyogens,B,Microbiology,C,C
"A 32 yr. old female is suffering from watery diarrhoea, hyponatremia and hypokalemia. Later it was diagnosed as cholera. The mechanism of action of heat labile toxin of Vibrio cholerae is",Increased CAMP,Increased CGMP,Inhibiting the release of ACH from nerves,Inhibiting protein synthesis by inactivating EF 2,A,Microbiology,B,A
Red infarcts occur in -,Kidney,Lung,Spleen,Hea,B,Microbiology,A,B
Immunoglobulin responsible for anamnestic response is -,IgA,IgG,IgM,IgE,B,Microbiology,B,B
Ehrlich phenomenon is seen in:-,Proteus,Mycobacterium TB,Corynebacterium,Staphylococcus,C,Microbiology,B,B
Discharging sinus is seen in,Sporotrichosis,Cryptococcosis,Histoplasmosis,Mycetoma,D,Microbiology,A,D
"An unimmunized, 2-year-old boy presents with drooling from the mouth, elevated temperature, and enlarged tonsils. During attempts at intubation, no gray-white membrane is observed but the epiglottis appears ""beefy"" red and edematous. Which of the following is the most likely organism?",Haemophilus haemolyticus,Haemophilus influenzae,Klebsiella pneumoniae,Mycoplasma pneumoniae,B,Microbiology,B,B
Which of the following is not consider to be a slow viruse diseases -,Kuru,Scrapie,Creutzfeldt Jakob disease,Sarcoidosis,D,Microbiology,D,D
Lysis of bacterial colony in culture is seen by which -,Pox,HSV,Bacteriophage,CMV,C,Microbiology,B,B
Vaccination causing intussusception: (PGI Dec 2007),Rota virus,Parvo virus,Inactivated polio,BCG,A,Microbiology,A,A
Phenol Coefficient indicates -,Efficiency of a disinfectant,Dilution of a disinfectant,Quantity of a disinfectant,Purity of a disinfectant,A,Microbiology,A,A
Which one given below is a DNA virus?,Polio virus,Adenovirus,Parvovirus,Hepatitis A virus,B,Microbiology,A,A
Immunoglobulin found in B lymphocyte -,IgA,IgE,IgG,IgD,D,Microbiology,D,D
Max. Hepatitis C virus transmission to foetus in pregnancy depends on -,Duration of illness,Time of infection,Route of delivery,High level of HCV RNA,D,Microbiology,A,A
Vesicle in ear with facial nerve palsy on same side is due to which in infection-,CMV,VZV,EBV,HSV,B,Microbiology,B,B
Which is the pandemic strain of influenza -,H1N1,H2N2,H5N1,H3N3,A,Microbiology,A,A
Ricketssia Reckettsii is responsible for which disease -,Endemic typhus,Epidemic typhus,Scrub typhus,Rocky mountain spotted fever,D,Microbiology,D,D
Bronchial secretion secretes -,IgA,IgE,IgM,IgG,A,Microbiology,A,A
A 55 year old cardiac patient who was on long-term treatment comes for follow up visit. The physician observes the following finding on ophthalmological examination. Which drug prescribed by the physician would most probably be responsible for this?,Digoxin,Verapamil,Amiodarone,Propranolol,C,Microbiology,A,A
Which hepatitis virus is a DNA virus?,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,B,Microbiology,B,B
Which anti-rabies vaccine has been recommended by WHO -,Ducek cell vaccine,Chick fibroblast vaccine,HDCV,Sheep brain vaccine,C,Microbiology,C,B
In blood culture the ratio of blood to reagent is -,1:05,1:20,1:10,:100,C,Microbiology,C,C
"In the Eijkman test, mac Conkey broth tubes are incubated at",25 degree centigrade,37 degree centigrade,44 degree centigrade,52 degree centigrade,C,Microbiology,B,B
"A 50-year-old man presented to his family doctor complaining of flu-like symptoms. The doctor gave him a shot of penicillin and sent him home. The man came back a week later and in fact, felt worse. The man was a rancher and raised a lot of cattle. He told the doctor that he had congenital heart disease and an attack of rheumatic fever when he was young. The man now complained of fever, night sweats, continual coughing, weight loss, and lethargy. The doctor had the man hospitalized because he now suspected subacute bacterial endocarditis (SBE). A culture of his blood did not show any bacterial growth, but a serum analysis for antibodies against a certain bacterium was positive. As a result of finding antibodies to this organism, treatment with doxycycline was begun and the patient improved and was released from the hospital. What was the name of the organism with which the man was infected?",Chlamydophila psittaci,Chlamydophila pneumoniae,Chlamydia trachomatis,Coxiella burnetii,D,Microbiology,C,C
Which of the following parasite passes through three hosts -,Fasciola hepatica,Fasciola buski,Schistosoma haematobium,Clonorchis sinensis,D,Microbiology,A,A
A 23-year-old presented with painless penile ulcer and painless lymphadenopathy. What is the diagnosis,Chancroid,Donovanosis,Syphilis,Herpes,C,Microbiology,C,C
"In transmission of malaria, mosquito bite transfers-",Sporozoite,Merozoite,Hypnozoite,Gametocyte,A,Microbiology,A,A
"About 90 days post-bone marrow transplant, a 55-year-old white woman began to complain of dry cough, shortness of breath, and chest pain. She was started on antibiotics and blood culture obtained at the time was negative and there was not improvement. A computed tomography (CT) scan of the lungs showed a halo of low attenuation around a nodular lesion. Analysis of lung biopsy was similar to methenamine silver-stained section below. The most likely diagnosis for this patient is",Aspergillosis,Candidiasis,Histoplasmosis,Mucormycosis,A,Microbiology,A,A
"A 50 year old farmer presents with warty lesion over left foot. Examination shows warts, cut nodules and florids of cauliflower. KOH mount shows yeast with dark brown irregular septae. Culture on Sabourauds agar shows sclerotic bodies. Probable diagnosis",Rhinosporidiosis,Mycetoma,Entomopthromycosis,Chromoblastomycosis,D,Microbiology,B,C
The only oncogenic virus whose pathogenicity has been proved without doubt is -,HTLV - I,HTLV - II,HTLV - III,HTLV - IV,A,Microbiology,A,A
Which of the following is a defensive virus -,HAV,HBV,HCV,HDV,D,Microbiology,D,
A 45 years female complains of lower abdominal pain and vaginal discharge. On examination there is cervicitis along with a mucopurulent cervical discharge. The gram smear of the discharge shows presence of abundant pus cells but no bacteria. The best approach to isolates the possible causative agent would be:,Culture on chocolate agar supplemented with Haemin,Culture on McCoy cells,Culture on a bilayer human blood agar,Culture on vero cell lines,B,Microbiology,A,B
red leg disease is caused by ?,aeromonas,pseudomonas,histoplasmosis,shigella hemolyticus,A,Microbiology,A,A
Which of the following cells is known as large granular lymphocyte (LGL) -,Plasma cells,NK cells,T cells,K cells,B,Microbiology,B,B
The egg of which helminth can be concentrated in saturated solution -,Taenia saginata,Taenia solium,Unfeilized egg of Ascaris,Ancylostoma duodenale,D,Microbiology,A,A
Light microscope resolution to visualise chromosomes,500 kb,5 mb,50 mb,5 kb,D,Microbiology,D,D
The serological marker of acute Hepatitis B infection is -,HBsAg + HBeAg,HBsAg-Core antibody,HBsAg,HBeAg,B,Microbiology,A,A
Paul bunnel reaction is a type of -,Agglutination,CFT,Precipitation,Flocculation test,A,Microbiology,B,A
Susceptible cultured cells infected with which of the following viruses would exhibit hemadsorption with the appropriate erythocyte ?,Sindbis virus,Influenza virus,Measles virus,Respiratory syncytial virus,B,Microbiology,A,B
Which one of the following viruses is the leading cause of congenital malformations?,Rabies,Rhinovirus,Cytomegalovirus,Respiratory syncytial virus,C,Microbiology,C,C
Most impoant element in treatment of diphtheria is,Antitoxin,Tetracycline,Erythromycin,Penicillin,A,Microbiology,A,A
standard test for diagnosis of IMN -,Monospot test,Paul Bunnel test,Lymphocytosis in peripheral smear,Culture,B,Microbiology,A,A
"A ""parasite"" that may be a fungus is the initial clinical manifestation in up to 60% of patients with AIDS. This organism is",Cryptosporidium,Microsporidium,Blastocystis,Pneumocystis,D,Microbiology,D,D
Diphtheria toxin resembles toxin of?,Birds,Spider,Snake,Scorpion,C,Microbiology,C,C
Thermatomyces is used in?,Sterilization standardization,Gram staining,Selective media preparation,Antibiotic sensitivity,A,Microbiology,C,A
Invasive amoebiasis can be best diagnosed by -,ELISA,Countercurrent immunoelectrophoresis,Haemagglutination test,Complement fixation test,A,Microbiology,A,A
"A microbiologist carries out milk ring test, which is positive. What is the most likely organism?",Salmonella,Brucella,Bordetella,Bacillus anthracis,B,Microbiology,B,B
Incubation period of ebola virus is -,5-20 hours,20-40 hours,5-20 days,20-40 days,C,Microbiology,C,C
Test to differentiate staphylococci from micrococci:,Catalase test,Coagulase test,Novobiosin sensitivity,Oxidation fermentation,D,Microbiology,A,A
Pernicious malaria is a complication seen in infection with -,Plasmodium vivax,Plasmodium falciparum,Plasmodium malariae,Plasmodium ovale,B,Microbiology,B,B
Gas gangrene is caused by:,Clostridium botulium,Clostridium perfringens,Clostridium difficile,Clostridium tetani,B,Microbiology,B,B
Which of the following is granted orphan drug status for the treatment of Dravet's syndrome?,Stiripentol,Icatibant,Pitolisant,Tafamidis,A,Microbiology,A,A
Oral hairy leukoplakia is associated with?,Cytomegalovirus,Human immunodeficiency virus,EBV,HPV,C,Microbiology,B,B
a 25 year old female presented to the hospital on 3rdday of menstruation with complaints of high fever vomiting and rash on her trunk and extremities. on investigations she had leukocytosis and negative blood culture. she is diagnosed as :,staphylococcal food poisoning,scalded skin syndrome,toxic shock syndrome,varicella zoster infection,C,Microbiology,C,C
